Radius,1600-2d-3Kx_073_M3_Radius Histo.csv,1600-2d-3Kx_077_M3_Radius Histo.csv,1600-2d-3Kx_081_S7_Radius Histo.csv,1600-2d.2-3Kx_085_M3_Radius Histo.csv,1600-2d.2-3Kx_089_S7_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0.0000,0,0,0,0,0,0,0.8154,0.4834,1.3807,3.8203
0.0450,39,122,47,118,101,427,0,0,0,0
0.0901,278,292,258,720,831,2379,0,0,0,0
0.1351,609,367,594,1039,1457,4066,0,0,0,0
0.1802,873,567,784,1309,1666,5199,0,0,0,0
0.2252,780,742,871,1026,1494,4913,0,0,0,0
0.2703,1228,1040,1259,1155,1661,6343,0,0,0,0
0.3153,1251,1003,1253,1061,1330,5898,0,0,0,0
0.3604,1169,1219,1093,1100,1217,5798,0,0,0,0
0.4054,1488,1443,1673,1403,1193,7200,0,0,0,0
0.4505,1076,1146,1307,1148,1132,5809,0,0,0,0
0.4955,1064,1145,1108,1215,1246,5778,0,0,0,0
0.5405,1038,711,901,1042,1217,4909,0,0,0,0
0.5856,919,868,909,1176,997,4869,0,0,0,0
0.6306,657,827,609,734,616,3443,0,0,0,0
0.6757,516,502,597,631,545,2791,0,0,0,0
0.7207,577,675,773,540,437,3002,0,0,0,0
0.7658,476,539,615,505,418,2553,0,0,0,0
0.8108,412,544,443,378,347,2124,0,0,0,0
0.8559,253,517,256,251,267,1544,0,0,0,0
0.9009,201,447,194,182,316,1340,0,0,0,0
0.9459,136,362,264,174,363,1299,0,0,0,0
0.9910,122,210,235,107,265,939,0,0,0,0
1.0360,102,190,159,87,150,688,0,0,0,0
1.0811,143,116,156,101,105,621,0,0,0,0
1.1261,159,66,146,161,112,644,0,0,0,0
1.1712,84,115,104,102,86,491,0,0,0,0
1.2162,83,102,93,74,47,399,0,0,0,0
1.2613,69,84,60,55,41,309,0,0,0,0
1.3063,30,72,39,53,57,251,0,0,0,0
1.3514,50,123,50,38,70,331,0,0,0,0
1.3964,90,83,49,28,20,270,0,0,0,0
1.4414,57,20,53,13,18,161,0,0,0,0
1.4865,49,12,12,4,6,83,0,0,0,0
1.5315,21,11,15,9,13,69,0,0,0,0
1.5766,30,8,8,4,7,57,0,0,0,0
1.6216,23,11,20,2,4,60,0,0,0,0
1.6667,11,3,8,3,6,31,0,0,0,0
1.7117,2,2,4,11,4,23,0,0,0,0
1.7568,4,1,12,6,6,29,0,0,0,0
1.8018,4,4,8,4,7,27,0,0,0,0
1.8468,2,7,1,2,3,15,0,0,0,0
1.8919,2,15,0,0,0,17,0,0,0,0
1.9369,0,23,0,0,0,23,0,0,0,0
1.9820,0,10,0,10,0,20,0,0,0,0
2.0270,0,12,0,10,0,22,0,0,0,0
2.0721,0,3,0,7,0,10,0,0,0,0
2.1171,0,4,0,0,0,4,0,0,0,0
2.1622,0,3,0,0,0,3,0,0,0,0
2.2072,0,3,0,0,0,3,0,0,0,0
2.2523,1,2,0,0,0,3,0,0,0,0
2.2973,10,3,0,0,0,13,0,0,0,0
2.3423,2,3,0,0,0,5,0,0,0,0
2.3874,0,1,0,0,0,1,0,0,0,0
2.4324,0,2,0,0,0,2,0,0,0,0
2.4775,0,3,0,0,0,3,0,0,0,0
2.5225,0,0,0,0,0,0,0,0,0,0
2.5676,0,4,0,0,0,4,0,0,0,0
2.6126,0,0,0,0,0,0,0,0,0,0
2.6577,0,4,0,0,0,4,0,0,0,0
2.7027,0,2,0,0,0,2,0,0,0,0
2.7477,0,1,0,0,0,1,0,0,0,0
2.7928,0,3,0,0,0,3,0,0,0,0
2.8378,0,8,0,0,0,8,0,0,0,0
2.8829,0,4,0,0,0,4,0,0,0,0
2.9279,0,5,0,0,0,5,0,0,0,0
2.9730,0,4,0,0,0,4,0,0,0,0
3.0180,0,0,0,0,0,0,0,0,0,0
3.0631,0,0,0,0,0,0,0,0,0,0
3.1081,0,0,0,0,0,0,0,0,0,0
3.1532,0,0,0,0,0,0,0,0,0,0
3.1982,0,0,0,0,0,0,0,0,0,0
3.2432,0,0,0,0,0,0,0,0,0,0
3.2883,0,0,0,0,0,0,0,0,0,0
