Radius,1600-4d-3Kx_115_S7_Radius Histo.csv,1600-4d-3Kx_125_S5_Radius Histo.csv,1600-4d.1-3Kx_129_S7_Radius Histo.csv,1600-4d.1-3Kx_134_S7_Radius Histo.csv,1600-4d.1-3Kx_138_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0,0,0,0,0,0,0,0.7672,0.4204,2.1642,9.099
0.045,109,54,136,79,97,662,0,0,0,0
0.0901,929,271,975,790,381,4425,0,0,0,0
0.1351,1732,648,1539,1124,533,7741,0,0,0,0
0.1802,2575,1064,2002,1197,1018,11372,0,0,0,0
0.2252,1923,986,1310,1060,1060,9066,0,0,0,0
0.2703,1715,1331,1517,1423,1520,11255,0,0,0,0
0.3153,1688,1449,1610,1256,1473,11784,0,0,0,0
0.3604,1858,1870,1700,1528,1541,14321,0,0,0,0
0.4054,1813,2076,1826,1681,1770,15445,0,0,0,0
0.4505,1277,1356,1340,1116,1436,11243,0,0,0,0
0.4955,989,1093,1479,1101,1325,10852,0,0,0,0
0.5405,676,800,856,979,859,7929,0,0,0,0
0.5856,758,1030,682,759,619,7537,0,0,0,0
0.6306,589,662,423,536,371,5402,0,0,0,0
0.6757,569,645,362,510,394,5044,0,0,0,0
0.7207,531,785,542,785,363,5468,0,0,0,0
0.7658,366,483,423,626,313,4010,0,0,0,0
0.8108,284,246,398,383,222,2999,0,0,0,0
0.8559,194,189,267,307,200,2387,0,0,0,0
0.9009,134,177,177,263,156,1855,0,0,0,0
0.9459,111,132,151,376,129,1849,0,0,0,0
0.991,76,125,116,243,125,1542,0,0,0,0
1.036,85,102,65,192,130,1200,0,0,0,0
1.0811,91,95,45,129,125,1016,0,0,0,0
1.1261,77,63,35,129,89,918,0,0,0,0
1.1712,64,27,22,72,87,770,0,0,0,0
1.2162,49,14,30,47,83,525,0,0,0,0
1.2613,26,5,31,63,44,503,0,0,0,0
1.3063,28,10,44,87,28,510,0,0,0,0
1.3514,16,16,27,38,66,412,0,0,0,0
1.3964,6,18,52,15,32,308,0,0,0,0
1.4414,10,8,26,9,13,225,0,0,0,0
1.4865,7,6,8,0,2,189,0,0,0,0
