Radius,1600-1d-15Kx_057_M3_Radius Histo.csv,1600-1d.2-15Kx_065_S2_Radius Histo.csv,1600-1d.2-15Kx_069_S8_Radius Histo.csv,1600-1d.2-15Kx_070_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0.0000,0,0,0,0,0,0.7660,0.4121,0.8586,0.2935
0.0090,11,20,19,10,60,0,0,0,0
0.0180,6,16,16,13,51,0,0,0,0
0.0270,8,12,17,13,50,0,0,0,0
0.0360,18,22,25,16,81,0,0,0,0
0.0450,7,18,17,12,54,0,0,0,0
0.0541,12,21,20,12,65,0,0,0,0
0.0631,12,13,18,13,56,0,0,0,0
0.0721,14,21,17,14,66,0,0,0,0
0.0811,10,27,44,17,98,0,0,0,0
0.0901,10,19,25,11,65,0,0,0,0
0.0991,12,20,30,37,99,0,0,0,0
0.1081,9,20,24,54,107,0,0,0,0
0.1171,15,22,27,80,144,0,0,0,0
0.1261,9,27,25,42,103,0,0,0,0
0.1351,8,20,24,46,98,0,0,0,0
0.1441,12,23,36,60,131,0,0,0,0
0.1532,9,17,44,64,134,0,0,0,0
0.1622,9,19,46,63,137,0,0,0,0
0.1712,12,19,41,70,142,0,0,0,0
0.1802,6,22,23,60,111,0,0,0,0
0.1892,12,18,37,66,133,0,0,0,0
0.1982,9,15,51,98,173,0,0,0,0
0.2072,9,18,69,116,212,0,0,0,0
0.2162,14,14,84,116,228,0,0,0,0
0.2252,10,23,79,173,285,0,0,0,0
0.2342,8,35,43,92,178,0,0,0,0
0.2432,10,90,65,50,215,0,0,0,0
0.2523,11,142,106,29,288,0,0,0,0
0.2613,13,152,102,61,328,0,0,0,0
0.2703,39,56,106,75,276,0,0,0,0
0.2793,76,67,67,34,244,0,0,0,0
0.2883,69,82,48,33,232,0,0,0,0
0.2973,73,65,22,24,184,0,0,0,0
0.3063,96,114,36,27,273,0,0,0,0
0.3153,36,120,38,17,211,0,0,0,0
0.3243,81,103,47,24,255,0,0,0,0
0.3333,26,73,51,18,168,0,0,0,0
0.3423,22,65,77,38,202,0,0,0,0
0.3514,35,32,80,35,182,0,0,0,0
0.3604,39,20,56,29,144,0,0,0,0
0.3694,32,37,60,24,153,0,0,0,0
0.3784,41,45,79,64,229,0,0,0,0
0.3874,57,96,87,92,332,0,0,0,0
0.3964,108,43,85,46,282,0,0,0,0
0.4054,95,90,58,35,278,0,0,0,0
0.4144,67,91,45,40,243,0,0,0,0
0.4234,48,60,40,39,187,0,0,0,0
0.4324,76,54,31,54,215,0,0,0,0
0.4414,92,152,50,63,357,0,0,0,0
0.4505,40,275,97,71,483,0,0,0,0
0.4595,57,172,75,70,374,0,0,0,0
0.4685,40,129,50,109,328,0,0,0,0
0.4775,25,97,47,141,310,0,0,0,0
0.4865,28,101,23,136,288,0,0,0,0
0.4955,36,138,16,96,286,0,0,0,0
0.5045,42,61,12,39,154,0,0,0,0
0.5135,48,42,12,30,132,0,0,0,0
0.5225,36,37,15,21,109,0,0,0,0
0.5315,78,45,18,61,202,0,0,0,0
0.5405,52,24,10,45,131,0,0,0,0
0.5495,50,32,10,32,124,0,0,0,0
0.5586,65,88,15,27,195,0,0,0,0
0.5676,26,57,24,29,136,0,0,0,0
0.5766,20,97,39,23,179,0,0,0,0
0.5856,18,68,32,27,145,0,0,0,0
0.5946,21,21,19,17,78,0,0,0,0
0.6036,11,8,26,18,63,0,0,0,0
0.6126,8,8,26,17,59,0,0,0,0
0.6216,5,8,16,23,52,0,0,0,0
0.6306,20,10,15,21,66,0,0,0,0
0.6396,14,9,27,13,63,0,0,0,0
0.6486,17,12,43,13,85,0,0,0,0
0.6577,12,13,22,6,53,0,0,0,0
0.6667,10,12,15,6,43,0,0,0,0
0.6757,21,4,12,4,41,0,0,0,0
0.6847,20,6,9,6,41,0,0,0,0
0.6937,23,6,17,4,50,0,0,0,0
0.7027,38,3,83,3,127,0,0,0,0
0.7117,61,5,51,5,122,0,0,0,0
0.7207,70,3,49,3,125,0,0,0,0
0.7297,65,5,50,1,121,0,0,0,0
0.7387,91,3,68,0,162,0,0,0,0
0.7477,66,4,16,0,86,0,0,0,0
0.7568,42,11,13,0,66,0,0,0,0
0.7658,27,46,87,0,160,0,0,0,0
0.7748,12,36,38,0,86,0,0,0,0
0.7838,10,33,9,38,90,0,0,0,0
0.7928,15,25,6,14,60,0,0,0,0
0.8018,13,47,7,35,102,0,0,0,0
0.8108,55,50,7,43,155,0,0,0,0
0.8198,57,32,4,51,144,0,0,0,0
0.8288,82,20,8,34,144,0,0,0,0
0.8378,48,8,7,11,74,0,0,0,0
0.8468,21,5,8,13,47,0,0,0,0
0.8559,18,14,5,7,44,0,0,0,0
0.8649,38,12,9,6,65,0,0,0,0
0.8739,41,5,18,11,75,0,0,0,0
0.8829,16,15,35,20,86,0,0,0,0
0.8919,20,4,29,22,75,0,0,0,0
0.9009,25,2,28,32,87,0,0,0,0
0.9099,41,1,20,27,89,0,0,0,0
0.9189,31,1,14,23,69,0,0,0,0
0.9279,19,1,12,5,37,0,0,0,0
0.9369,13,1,10,4,28,0,0,0,0
0.9459,17,1,16,4,38,0,0,0,0
0.9550,12,2,24,4,42,0,0,0,0
0.9640,28,1,25,4,58,0,0,0,0
0.9730,59,1,17,5,82,0,0,0,0
0.9820,33,2,14,2,51,0,0,0,0
0.9910,29,1,11,2,43,0,0,0,0
1.0000,31,1,2,2,36,0,0,0,0
1.0090,30,1,2,1,34,0,0,0,0
1.0180,8,2,2,2,14,0,0,0,0
1.0270,5,1,5,3,14,0,0,0,0
1.0360,5,1,2,7,15,0,0,0,0
1.0450,4,2,3,17,26,0,0,0,0
1.0541,4,1,5,3,13,0,0,0,0
1.0631,3,9,5,0,17,0,0,0,0
1.0721,3,29,3,27,62,0,0,0,0
1.0811,3,36,12,8,59,0,0,0,0
1.0901,3,48,6,6,63,0,0,0,0
1.0991,3,99,0,5,107,0,0,0,0
1.1081,2,48,0,4,54,0,0,0,0
1.1171,3,58,0,3,64,0,0,0,0
1.1261,1,15,0,4,20,0,0,0,0
1.1351,0,0,0,5,5,0,0,0,0
1.1441,0,0,39,4,43,0,0,0,0
1.1532,0,0,10,4,14,0,0,0,0
1.1622,0,0,6,4,10,0,0,0,0
1.1712,0,0,5,4,9,0,0,0,0
