Radius,1600-1d-1Kx_052_M3_Radius Histo.csv,1600-1d-1Kx_055_M2_Radius Histo.csv,1600-1d-1Kx_059_S3_Radius Histo.csv,1600-1d.2-1Kx_063_S5_Radius Histo.csv,1600-1d.2-1Kx_067_M7_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0.0000,0,0,0,0,0,0,1.0921,0.4420,1.7678,5.0214
0.1351,229,175,388,298,448,1538,0,0,0,0
0.2703,2506,2027,4708,4414,4685,18340,0,0,0,0
0.4054,6058,4400,8161,8750,8427,35796,0,0,0,0
0.5405,9152,5953,9717,10400,10909,46131,0,0,0,0
0.6757,5217,3729,5203,5595,6254,25998,0,0,0,0
0.8108,4297,3633,3891,4047,4482,20350,0,0,0,0
0.9459,2848,2608,2387,2522,2788,13153,0,0,0,0
1.0811,1933,1841,1624,1772,1935,9105,0,0,0,0
1.2162,1540,1821,1169,1133,1320,6983,0,0,0,0
1.3514,851,1153,677,528,596,3805,0,0,0,0
1.4865,590,1084,524,410,443,3051,0,0,0,0
1.6216,368,713,330,211,297,1919,0,0,0,0
1.7568,275,613,266,126,117,1397,0,0,0,0
1.8919,165,486,173,86,63,973,0,0,0,0
2.0270,117,389,93,50,38,687,0,0,0,0
2.1622,67,280,60,30,16,453,0,0,0,0
2.2973,31,181,33,9,5,259,0,0,0,0
2.4324,23,140,6,27,0,196,0,0,0,0
2.5676,48,58,0,11,2,119,0,0,0,0
2.7027,36,67,0,0,0,103,0,0,0,0
2.8378,17,61,0,0,0,78,0,0,0,0
2.9730,11,18,11,0,0,40,0,0,0,0
3.1081,13,7,9,0,0,29,0,0,0,0
3.2432,7,22,1,0,0,30,0,0,0,0
3.3784,0,14,0,0,0,14,0,0,0,0
3.5135,0,13,0,0,0,13,0,0,0,0
3.6486,0,4,0,0,0,4,0,0,0,0
3.7838,0,2,0,0,0,2,0,0,0,0
3.9189,0,0,0,0,0,0,0,0,0,0
4.0541,0,0,0,0,0,0,0,0,0,0
4.1892,0,7,0,0,0,7,0,0,0,0
4.3243,0,1,0,0,0,1,0,0,0,0
4.4595,0,0,0,0,0,0,0,0,0,0
4.5946,0,0,0,0,0,0,0,0,0,0
4.7297,0,0,0,0,0,0,0,0,0,0
4.8649,0,0,0,0,0,0,0,0,0,0
5.0000,0,0,0,0,0,0,0,0,0,0
5.1351,0,0,0,0,0,0,0,0,0,0
5.2703,0,0,0,0,0,0,0,0,0,0
5.4054,0,0,0,0,0,0,0,0,0,0
5.5405,0,0,0,0,0,0,0,0,0,0
5.6757,0,0,0,0,0,0,0,0,0,0
5.8108,0,0,0,0,0,0,0,0,0,0
5.9459,0,0,0,0,0,0,0,0,0,0
6.0811,0,0,0,0,0,0,0,0,0,0
6.2162,0,0,0,0,0,0,0,0,0,0
6.3514,0,0,0,0,0,0,0,0,0,0
6.4865,0,0,0,0,0,0,0,0,0,0
6.6216,0,0,0,0,0,0,0,0,0,0
6.7568,0,0,0,0,0,0,0,0,0,0
6.8919,0,0,0,0,0,0,0,0,0,0
7.0270,0,0,0,0,0,0,0,0,0,0
7.1622,0,0,0,0,0,0,0,0,0,0
7.2973,0,0,0,0,0,0,0,0,0,0
7.4324,0,0,0,0,0,0,0,0,0,0
7.5676,0,0,0,0,0,0,0,0,0,0
