Radius,1600-1d-3Kx_051_S5_Radius Histo.csv,1600-1d-3Kx_056_S3_Radius Histo.csv,1600-1d-3Kx_060_S3_Radius Histo.csv,1600-1d.2-3Kx_064_S4_Radius Histo.csv,1600-1d.2-3Kx_068_S7_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0.0000,0,0,0,0,0,0,0.8611,0.3899,1.1678,2.0357
0.0450,64,93,47,48,88,340,0,0,0,0
0.0901,61,191,130,159,252,793,0,0,0,0
0.1351,195,313,464,337,415,1724,0,0,0,0
0.1802,630,653,986,572,865,3706,0,0,0,0
0.2252,669,609,964,677,1244,4163,0,0,0,0
0.2703,965,971,1543,1004,1462,5945,0,0,0,0
0.3153,1014,1336,1379,1235,1672,6636,0,0,0,0
0.3604,1565,1807,1822,1772,1632,8598,0,0,0,0
0.4054,1803,2221,1863,2016,1597,9500,0,0,0,0
0.4505,1313,1551,1467,1747,1175,7253,0,0,0,0
0.4955,1527,1392,1411,1701,1041,7072,0,0,0,0
0.5405,1073,918,1228,1203,940,5362,0,0,0,0
0.5856,978,769,997,1193,1025,4962,0,0,0,0
0.6306,843,652,589,1026,560,3670,0,0,0,0
0.6757,819,627,639,807,493,3385,0,0,0,0
0.7207,993,624,552,755,480,3404,0,0,0,0
0.7658,922,579,597,504,431,3033,0,0,0,0
0.8108,675,494,361,378,287,2195,0,0,0,0
0.8559,474,325,267,321,313,1700,0,0,0,0
0.9009,316,248,310,255,284,1413,0,0,0,0
0.9459,240,294,272,269,347,1422,0,0,0,0
0.9910,273,311,162,202,206,1154,0,0,0,0
1.0360,201,136,65,123,182,707,0,0,0,0
1.0811,110,176,81,82,169,618,0,0,0,0
1.1261,109,150,61,159,167,646,0,0,0,0
1.1712,72,117,19,97,85,390,0,0,0,0
1.2162,49,91,16,70,72,298,0,0,0,0
1.2613,40,58,19,58,102,277,0,0,0,0
1.3063,25,36,28,66,76,231,0,0,0,0
1.3514,20,14,38,50,30,152,0,0,0,0
1.3964,2,12,27,44,12,97,0,0,0,0
1.4414,11,17,11,27,30,96,0,0,0,0
1.4865,11,19,42,32,15,119,0,0,0,0
1.5315,25,10,20,18,11,84,0,0,0,0
1.5766,17,12,6,46,7,88,0,0,0,0
1.6216,13,6,6,26,3,54,0,0,0,0
1.6667,12,3,6,11,8,40,0,0,0,0
1.7117,5,1,3,9,15,33,0,0,0,0
1.7568,1,0,2,12,3,18,0,0,0,0
1.8018,7,0,1,4,10,22,0,0,0,0
1.8468,1,0,2,8,6,17,0,0,0,0
1.8919,0,0,3,2,0,5,0,0,0,0
1.9369,0,0,2,2,0,4,0,0,0,0
1.9820,0,2,2,0,0,4,0,0,0,0
2.0270,0,0,5,0,0,5,0,0,0,0
2.0721,0,0,0,0,0,0,0,0,0,0
2.1171,0,0,0,0,0,0,0,0,0,0
2.1622,0,0,0,0,0,0,0,0,0,0
