Radius,1600-1d-800x_050_S5_Radius Histo.csv,1600-1d-800x_054_S5_Radius Histo.csv,1600-1d-800x_058_S5_Radius Histo.csv,1600-1d.2-800x_062_S5_Radius Histo.csv,1600-1d.2-800x_066_S5_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0.0000,0,0,0,0,0,0,1.2698,0.5197,1.6538,4.5197
0.1695,344,391,435,542,370,2082,0,0,0,0
0.3390,4808,5024,6005,6099,3858,25794,0,0,0,0
0.5085,9177,8550,9628,9501,7592,44448,0,0,0,0
0.6780,9720,8945,9561,9723,8826,46775,0,0,0,0
0.8475,5350,5204,4760,4989,5154,25457,0,0,0,0
1.0169,3939,4092,3839,3593,3591,19054,0,0,0,0
1.1864,2526,2526,2286,2328,2390,12056,0,0,0,0
1.3559,1898,1688,1594,1782,1764,8726,0,0,0,0
1.5254,1250,1281,1469,1247,1431,6678,0,0,0,0
1.6949,607,626,722,588,835,3378,0,0,0,0
1.8644,479,418,436,404,678,2415,0,0,0,0
2.0339,349,253,241,228,381,1452,0,0,0,0
2.2034,216,163,119,148,296,942,0,0,0,0
2.3729,151,102,67,85,86,491,0,0,0,0
2.5424,107,51,56,36,84,334,0,0,0,0
2.7119,92,21,44,67,75,299,0,0,0,0
2.8814,50,14,44,31,35,174,0,0,0,0
3.0508,14,7,33,19,21,94,0,0,0,0
3.2203,12,8,22,14,5,61,0,0,0,0
3.3898,3,8,5,16,7,39,0,0,0,0
3.5593,0,6,8,9,2,25,0,0,0,0
3.7288,0,0,6,6,24,36,0,0,0,0
3.8983,1,0,0,1,3,5,0,0,0,0
4.0678,2,0,0,1,0,3,0,0,0,0
4.2373,2,0,0,0,0,2,0,0,0,0
4.4068,4,0,0,0,0,4,0,0,0,0
4.5763,7,0,0,0,0,7,0,0,0,0
4.7458,2,0,5,0,0,7,0,0,0,0
4.9153,0,0,3,0,0,3,0,0,0,0
5.0847,0,0,0,0,0,0,0,0,0,0
5.2542,0,0,0,0,0,0,0,0,0,0
5.4237,0,0,0,0,0,0,0,0,0,0
5.5932,0,0,0,0,0,0,0,0,0,0
5.7627,0,0,0,0,0,0,0,0,0,0
5.9322,0,0,0,0,0,0,0,0,0,0
6.1017,0,0,0,0,0,0,0,0,0,0
6.2712,0,0,0,0,0,0,0,0,0,0
6.4407,0,0,0,0,0,0,0,0,0,0
6.6102,0,0,0,0,0,0,0,0,0,0
6.7797,0,0,0,0,0,0,0,0,0,0
6.9492,0,0,0,0,0,0,0,0,0,0
7.1186,0,0,0,0,0,0,0,0,0,0
7.2881,0,0,0,0,0,0,0,0,0,0
7.4576,0,0,0,0,0,0,0,0,0,0
7.6271,0,0,0,0,0,0,0,0,0,0
7.7966,0,0,0,0,0,0,0,0,0,0
7.9661,0,0,0,0,0,0,0,0,0,0
8.1356,0,0,0,0,0,0,0,0,0,0
8.3051,0,0,0,0,0,0,0,0,0,0
8.4746,0,0,0,0,0,0,0,0,0,0
8.6441,0,0,0,0,0,0,0,0,0,0
8.8136,0,0,0,0,0,0,0,0,0,0
8.9831,0,0,0,0,0,0,0,0,0,0
9.1525,0,0,0,0,0,0,0,0,0,0
9.3220,0,0,0,0,0,0,0,0,0,0
9.4915,0,0,0,0,0,0,0,0,0,0
9.6610,0,0,0,0,0,0,0,0,0,0
9.8305,0,0,0,0,0,0,0,0,0,0
10.0000,0,0,0,0,0,0,0,0,0,0
10.1695,0,0,0,0,0,0,0,0,0,0
10.3390,0,0,0,0,0,0,0,0,0,0
10.5085,0,0,0,0,0,0,0,0,0,0
10.6780,0,0,0,0,0,0,0,0,0,0
10.8475,0,0,0,0,0,0,0,0,0,0
11.0169,0,0,0,0,0,0,0,0,0,0
11.1864,0,0,0,0,0,0,0,0,0,0
11.3559,0,0,0,0,0,0,0,0,0,0
11.5254,0,0,0,0,0,0,0,0,0,0
11.6949,0,0,0,0,0,0,0,0,0,0
11.8644,0,0,0,0,0,0,0,0,0,0
12.0339,0,0,0,0,0,0,0,0,0,0
12.2034,0,0,0,0,0,0,0,0,0,0
12.3729,0,0,0,0,0,0,0,0,0,0
12.5424,0,0,0,0,0,0,0,0,0,0
12.7119,0,0,0,0,0,0,0,0,0,0
12.8814,0,0,0,0,0,0,0,0,0,0
13.0508,0,0,0,0,0,0,0,0,0,0
13.2203,0,0,0,0,0,0,0,0,0,0
13.3898,0,0,0,0,0,0,0,0,0,0
13.5593,0,0,0,0,0,0,0,0,0,0
13.7288,0,0,0,0,0,0,0,0,0,0
13.8983,0,0,0,0,0,0,0,0,0,0
14.0678,0,0,0,0,0,0,0,0,0,0
14.2373,0,0,0,0,0,0,0,0,0,0
14.4068,0,0,0,0,0,0,0,0,0,0
14.5763,0,0,0,0,0,0,0,0,0,0
14.7458,0,0,0,0,0,0,0,0,0,0
14.9153,0,0,0,0,0,0,0,0,0,0
15.0847,0,0,0,0,0,0,0,0,0,0
15.2542,0,0,0,0,0,0,0,0,0,0
15.4237,0,0,0,0,0,0,0,0,0,0
15.5932,0,0,0,0,0,0,0,0,0,0
15.7627,0,0,0,0,0,0,0,0,0,0
15.9322,0,0,0,0,0,0,0,0,0,0
16.1017,0,0,0,0,0,0,0,0,0,0
16.2712,0,0,0,0,0,0,0,0,0,0
16.4407,0,0,0,0,0,0,0,0,0,0
16.6102,0,0,0,0,0,0,0,0,0,0
16.7797,0,0,0,0,0,0,0,0,0,0
16.9492,0,0,0,0,0,0,0,0,0,0
17.1186,0,0,0,0,0,0,0,0,0,0
17.2881,0,0,0,0,0,0,0,0,0,0
17.4576,0,0,0,0,0,0,0,0,0,0
17.6271,0,0,0,0,0,0,0,0,0,0
17.7966,0,0,0,0,0,0,0,0,0,0
17.9661,0,0,0,0,0,0,0,0,0,0
18.1356,0,0,0,0,0,0,0,0,0,0
18.3051,0,0,0,0,0,0,0,0,0,0
18.4746,0,0,0,0,0,0,0,0,0,0
18.6441,0,0,0,0,0,0,0,0,0,0
18.8136,0,0,0,0,0,0,0,0,0,0
18.9831,0,0,0,0,0,0,0,0,0,0
19.1525,0,0,0,0,0,0,0,0,0,0
19.3220,0,0,0,0,0,0,0,0,0,0
19.4915,0,0,0,0,0,0,0,0,0,0
19.6610,0,0,0,0,0,0,0,0,0,0
19.8305,0,0,0,0,0,0,0,0,0,0
20.0000,0,0,0,0,0,0,0,0,0,0
20.1695,0,0,0,0,0,0,0,0,0,0
20.3390,0,0,0,0,0,0,0,0,0,0
20.5085,0,0,0,0,0,0,0,0,0,0
20.6780,0,0,0,0,0,0,0,0,0,0
20.8475,0,0,0,0,0,0,0,0,0,0
21.0169,0,0,0,0,0,0,0,0,0,0
21.1864,0,0,0,0,0,0,0,0,0,0
21.3559,0,0,0,0,0,0,0,0,0,0
21.5254,0,0,0,0,0,0,0,0,0,0
21.6949,0,0,0,0,0,0,0,0,0,0
21.8644,0,0,0,0,0,0,0,0,0,0
22.0339,0,0,0,0,0,0,0,0,0,0
22.2034,0,0,0,0,0,0,0,0,0,0
22.3729,0,0,0,0,0,0,0,0,0,0
22.5424,0,0,0,0,0,0,0,0,0,0
22.7119,0,0,0,0,0,0,0,0,0,0
22.8814,0,0,0,0,0,0,0,0,0,0
23.0508,0,0,0,0,0,0,0,0,0,0
23.2203,0,0,0,0,0,0,0,0,0,0
23.3898,0,0,0,0,0,0,0,0,0,0
23.5593,0,0,0,0,0,0,0,0,0,0
23.7288,0,0,0,0,0,0,0,0,0,0
23.8983,0,0,0,0,0,0,0,0,0,0
24.0678,0,0,0,0,0,0,0,0,0,0
24.2373,0,0,0,0,0,0,0,0,0,0
24.4068,0,0,0,0,0,0,0,0,0,0
24.5763,0,0,0,0,0,0,0,0,0,0
24.7458,0,0,0,0,0,0,0,0,0,0
24.9153,0,0,0,0,0,0,0,0,0,0
25.0847,0,0,0,0,0,0,0,0,0,0
25.2542,0,0,0,0,0,0,0,0,0,0
25.4237,0,0,0,0,0,0,0,0,0,0
25.5932,0,0,0,0,0,0,0,0,0,0
25.7627,0,0,0,0,0,0,0,0,0,0
25.9322,0,0,0,0,0,0,0,0,0,0
26.1017,0,0,0,0,0,0,0,0,0,0
26.2712,0,0,0,0,0,0,0,0,0,0
